TF	target	importance
ENSG00000206072	cg00002145	4.89713561716723
ENSG00000264576	cg00002597	4.583946160665307
ENSG00000179833	cg00003173	4.255435663344863
ENSG00000008517	cg00000236	4.194697589798784
ENSG00000057294	cg00002808	4.026844987589699
ENSG00000234900	cg00002406	3.8527367687691214
ENSG00000230100	cg00001446	3.8123792551061744
ENSG00000234900	cg00002236	3.809594960051937
ENSG00000057294	cg00000721	3.603795042613704
ENSG00000206072	cg00000957	3.5430615222269495
ENSG00000064225	cg00002449	3.4007949259620807
ENSG00000234900	cg00002116	3.348858787964327
ENSG00000064225	cg00000957	3.2702175676331406
ENSG00000102174	cg00000622	3.2484436652099453
ENSG00000214062	cg00003091	3.241579855494206
ENSG00000166391	cg00000622	3.163204445687073
ENSG00000234900	cg00002930	3.0926119965361627
ENSG00000206072	cg00004055	3.0745980394867836
ENSG00000088179	cg00002810	3.0060589331167193
ENSG00000240423	cg00001510	2.9589729854760685
ENSG00000064225	cg00003202	2.92584503464236
ENSG00000206072	cg00001809	2.919675701327614
ENSG00000134108	cg00003994	2.9137941950398893
ENSG00000166368	cg00000721	2.860434028987359
ENSG00000215246	cg00001364	2.8105925095638438
ENSG00000227766	cg00003298	2.798612765893984
ENSG00000227766	cg00004082	2.7890560508400566
ENSG00000057294	cg00004067	2.699345789456866
ENSG00000266261	cg00000165	2.691210522690076
ENSG00000146083	cg00003091	2.6837519005029047
ENSG00000275479	cg00000734	2.676590552952533
ENSG00000230100	cg00002646	2.669352721644024
ENSG00000234900	cg00002591	2.6347714150685415
ENSG00000146083	cg00004089	2.632374226970663
ENSG00000234900	cg00003287	2.5975122475625856
ENSG00000166391	cg00002597	2.5894158455282295
ENSG00000206072	cg00002190	2.5813115527131867
ENSG00000280038	cg00001687	2.5624523385231663
ENSG00000060642	cg00002809	2.543345633421299
ENSG00000206072	cg00000321	2.530327952533182
ENSG00000234900	cg00001582	2.5239435826298133
ENSG00000179262	cg00001510	2.5066191555497186
ENSG00000182141	cg00004055	2.4926456768955703
ENSG00000057294	cg00000622	2.420436202983976
ENSG00000095587	cg00002426	2.4126387556386057
ENSG00000008517	cg00001582	2.3769949723296353
ENSG00000252628	cg00000924	2.355871120330337
ENSG00000060642	cg00003969	2.338187841373527
ENSG00000231981	cg00002464	2.336788138972282
ENSG00000078237	cg00002464	2.3142410826141955
ENSG00000078237	cg00002837	2.303625327259203
ENSG00000206072	cg00001261	2.288773728263339
ENSG00000264576	cg00001364	2.2788952645170655
ENSG00000134108	cg00000165	2.2745866110226594
ENSG00000264576	cg00000363	2.273742922315029
ENSG00000273055	cg00003994	2.2438148061100667
ENSG00000166391	cg00003969	2.2295843102693427
ENSG00000078237	cg00002591	2.228576031853101
ENSG00000057294	cg00003625	2.208727497584715
ENSG00000280038	cg00001874	2.1855239361488104
ENSG00000070081	cg00002808	2.1771967397610474
ENSG00000064601	cg00000029	2.1706427289557277
ENSG00000179833	cg00003298	2.1450205067629815
ENSG00000275479	cg00001349	2.134789844746751
ENSG00000153561	cg00002464	2.1034461384487604
ENSG00000206072	cg00001510	2.103155378486216
ENSG00000167700	cg00000622	2.087117769273032
ENSG00000064601	cg00004072	2.085483466627752
ENSG00000146083	cg00000721	2.0822863661158406
ENSG00000166634	cg00000622	2.0821284929457904
ENSG00000206072	cg00003091	2.0817831409197525
ENSG00000127511	cg00003529	2.063213612472125
ENSG00000254092	cg00002490	2.0606793161665657
ENSG00000008517	cg00001687	2.032238381542405
ENSG00000242268	cg00000948	2.03140572387734
ENSG00000231105	cg00002449	2.0241118993455802
ENSG00000057294	cg00003202	2.0167100173582027
ENSG00000070081	cg00000734	2.0136449339327256
ENSG00000214198	cg00003202	2.0072576333775514
ENSG00000134108	cg00002810	1.9986396758023588
ENSG00000280038	cg00002426	1.9955225228461815
ENSG00000254131	cg00004082	1.9740786259776564
ENSG00000078237	cg00000236	1.9708857027103086
ENSG00000167578	cg00001446	1.9683418638920547
ENSG00000166634	cg00000236	1.9650810558608027
ENSG00000258630	cg00002719	1.9576069990612737
ENSG00000242041	cg00000905	1.9515919906299808
ENSG00000271647	cg00003345	1.9311874056164564
ENSG00000206072	cg00002769	1.9285114173150077
ENSG00000064225	cg00002930	1.9276644304840158
ENSG00000206072	cg00003578	1.9251516970282652
ENSG00000269416	cg00003513	1.924944521452727
ENSG00000206072	cg00000658	1.9223805569203394
ENSG00000057294	cg00002449	1.9129818826589
ENSG00000064601	cg00003784	1.9121423963511046
ENSG00000264576	cg00001582	1.9041328065638894
ENSG00000234900	cg00000289	1.9005399830156822
ENSG00000167578	cg00002116	1.898735815898232
ENSG00000070087	cg00002464	1.8986668249623855
ENSG00000102174	cg00003969	1.8901368946229666
ENSG00000153561	cg00001583	1.880192400098195
ENSG00000166391	cg00000658	1.878440359622294
ENSG00000172137	cg00000948	1.878129587968858
ENSG00000172137	cg00002719	1.8745084627148425
ENSG00000276644	cg00001249	1.874468249563974
ENSG00000231105	cg00001582	1.870200838574728
ENSG00000263089	cg00001854	1.857486339949053
ENSG00000057294	cg00002593	1.8526324599983583
ENSG00000158486	cg00001446	1.8449217678277474
ENSG00000280038	cg00003173	1.843267282374074
ENSG00000254131	cg00000363	1.8391737390451037
ENSG00000060642	cg00002808	1.8272860941860944
ENSG00000127511	cg00002145	1.8270652236929574
ENSG00000057294	cg00000321	1.819891794160551
ENSG00000242268	cg00003305	1.8120338321160143
ENSG00000264576	cg00002809	1.8081909727286394
ENSG00000214198	cg00001349	1.8078946840995862
ENSG00000078237	cg00002593	1.8047622052457726
ENSG00000270469	cg00002490	1.804412321319113
ENSG00000267108	cg00000948	1.796803462695599
ENSG00000179833	cg00001687	1.7884008634389883
ENSG00000280159	cg00003181	1.7867473209011608
ENSG00000060642	cg00002769	1.7826669278404244
ENSG00000008517	cg00000292	1.7668025074615124
ENSG00000227766	cg00002236	1.7665070475267983
ENSG00000214198	cg00002116	1.765091926274218
ENSG00000088179	cg00001809	1.761252273472207
ENSG00000234900	cg00000905	1.7579087926257746
ENSG00000273055	cg00001349	1.7433565530459716
ENSG00000102174	cg00001791	1.7393539069460842
ENSG00000234900	cg00001687	1.7382646310326644
ENSG00000227766	cg00000289	1.7363002502066214
ENSG00000234900	cg00003784	1.732383379509443
ENSG00000275479	cg00001446	1.721723600639565
ENSG00000234900	cg00003305	1.7217007441338565
ENSG00000234900	cg00002490	1.707582052299904
ENSG00000275479	cg00003345	1.7057480480528107
ENSG00000134108	cg00001261	1.703287398653972
ENSG00000227766	cg00001747	1.6961974393715094
ENSG00000057294	cg00002033	1.6925156496419256
ENSG00000127511	cg00003173	1.6909264195570282
ENSG00000254131	cg00004089	1.6889457041600995
ENSG00000271616	cg00002490	1.6877572484726133
ENSG00000215246	cg00003305	1.675303731097495
ENSG00000231105	cg00000924	1.6729704754507901
ENSG00000271647	cg00001809	1.671415802131349
ENSG00000225275	cg00003181	1.6698900820622014
ENSG00000057294	cg00002809	1.669406775072083
ENSG00000267108	cg00002190	1.6652339088891384
ENSG00000234900	cg00004082	1.659971567941096
ENSG00000234900	cg00002810	1.6598934752252164
ENSG00000095587	cg00004072	1.6587464101505098
ENSG00000070087	cg00003298	1.657548647919905
ENSG00000064225	cg00001245	1.656353387099173
ENSG00000070087	cg00000905	1.6478881475588547
ENSG00000227535	cg00000363	1.6406475266074365
ENSG00000230100	cg00001245	1.638164821676863
ENSG00000206072	cg00002646	1.6356920894245623
ENSG00000274458	cg00002809	1.630813305810027
ENSG00000179262	cg00000029	1.630148508851057
ENSG00000064601	cg00002593	1.6264266233827418
ENSG00000153561	cg00003994	1.6250086961563508
ENSG00000231105	cg00001874	1.620290557104055
ENSG00000206072	cg00003625	1.6153842844581052
ENSG00000161558	cg00003287	1.6113163487660356
ENSG00000215246	cg00001809	1.611107914545976
ENSG00000234943	cg00001510	1.6081247056571826
ENSG00000271647	cg00001687	1.6000967249816898
ENSG00000275479	cg00002531	1.598918468802079
ENSG00000276644	cg00004067	1.5963950350511298
ENSG00000158486	cg00001349	1.5923952545698874
ENSG00000273406	cg00002236	1.589924842039484
ENSG00000227766	cg00003287	1.5885329650516442
ENSG00000070087	cg00001349	1.5824565203372303
ENSG00000064601	cg00002464	1.580685671705381
ENSG00000276644	cg00002490	1.5806169758156228
ENSG00000060642	cg00003784	1.5788868079852707
ENSG00000231105	cg00002224	1.5746243374093791
ENSG00000127511	cg00002808	1.5732637891315813
ENSG00000179833	cg00003305	1.570210593888434
ENSG00000172137	cg00000905	1.5574183082359108
ENSG00000280038	cg00003529	1.5561945791597718
ENSG00000057294	cg00000029	1.5532474716196287
ENSG00000276644	cg00002591	1.5497961663392164
ENSG00000158486	cg00002145	1.5410295931538036
ENSG00000231105	cg00000957	1.5388152143436988
ENSG00000172137	cg00001446	1.5229402513032178
ENSG00000198242	cg00001261	1.5168506905652244
