genes	cpgs	mean_weight
ENSG00000206072	cg00002145	4.372173223187914
ENSG00000057294	cg00000721	4.2622069564738
ENSG00000215246	cg00001364	3.6075477979012316
ENSG00000264576	cg00002597	3.5282402529116097
ENSG00000227766	cg00004082	3.4310336533960224
ENSG00000127511	cg00002808	3.3221247609760334
ENSG00000179833	cg00003173	3.288375657036099
ENSG00000064225	cg00000957	3.2058098160357713
ENSG00000166391	cg00000622	3.0718753915905332
ENSG00000230100	cg00001446	3.023332695025443
ENSG00000206072	cg00001809	2.784097552046834
ENSG00000060642	cg00002809	2.7453974515084387
ENSG00000064225	cg00002449	2.717350149896523
ENSG00000166391	cg00002597	2.675255226888593
ENSG00000240423	cg00001510	2.5431418030384947
ENSG00000206072	cg00000957	2.5183482301279434
ENSG00000088179	cg00002810	2.5175756517313452
ENSG00000273055	cg00003994	2.5127387578840303
ENSG00000234900	cg00002236	2.4668103754773454
ENSG00000057294	cg00002808	2.4551862468215533
ENSG00000134108	cg00003994	2.4206159768039233
ENSG00000227766	cg00003298	2.330601569265328
ENSG00000008517	cg00000236	2.306628974915344
ENSG00000146083	cg00004089	2.300391493498204
ENSG00000064601	cg00003784	2.2946014635713268
ENSG00000088179	cg00003173	2.2512452611812224
ENSG00000064225	cg00002930	2.2468202483227366
ENSG00000158486	cg00002145	2.2339510799816527
ENSG00000198242	cg00001261	2.217554731149507
ENSG00000095587	cg00002426	2.2072195926862035
ENSG00000206072	cg00000321	2.192545929130618
ENSG00000206072	cg00004055	2.183127327415665
ENSG00000064601	cg00004072	2.140775307303151
ENSG00000266261	cg00000165	2.1397236908391486
ENSG00000182141	cg00004055	2.134945508565831
ENSG00000127511	cg00002145	2.1149664241542805
ENSG00000070081	cg00000734	2.1106952118323847
ENSG00000258630	cg00002719	2.095851556593461
ENSG00000234943	cg00001510	2.083352783721933
ENSG00000166391	cg00003969	2.081743912689939
ENSG00000158486	cg00000769	2.0672688675117112
ENSG00000060642	cg00002769	2.0523204351146047
ENSG00000158486	cg00002464	2.047938201688425
ENSG00000070081	cg00004055	2.0375609553457728
ENSG00000146083	cg00000721	2.02663800824215
ENSG00000214062	cg00003091	2.026242887485368
ENSG00000060642	cg00003969	2.009757241883136
ENSG00000254465	cg00002464	2.008724189129502
ENSG00000231105	cg00002449	2.007323961863523
ENSG00000267108	cg00002190	2.0055421622445575
ENSG00000064601	cg00002593	1.9950756582525901
ENSG00000078237	cg00002837	1.994508853095888
ENSG00000179833	cg00003298	1.9880980624802065
ENSG00000095587	cg00000658	1.9816037042312724
ENSG00000057294	cg00001687	1.9709555153494875
ENSG00000264576	cg00001364	1.9701533282519155
ENSG00000206072	cg00002190	1.9581377936567055
ENSG00000215246	cg00004067	1.9557686571889115
ENSG00000234900	cg00002116	1.9532221524393236
ENSG00000230100	cg00002646	1.9422216426185763
ENSG00000234900	cg00003287	1.9331130767328049
ENSG00000078237	cg00002591	1.932799105453775
ENSG00000234900	cg00002406	1.9280228890165423
ENSG00000172137	cg00000948	1.8818027448340569
ENSG00000172137	cg00001446	1.8769112210356484
ENSG00000252628	cg00000924	1.875446314530029
ENSG00000070081	cg00002769	1.8731663112822199
ENSG00000102174	cg00000622	1.8586636873636895
ENSG00000064601	cg00002464	1.8467477588648744
ENSG00000275479	cg00000734	1.831512187245309
ENSG00000231105	cg00001582	1.8219097320910198
ENSG00000234900	cg00002930	1.8202262778500522
ENSG00000146083	cg00003091	1.8103382688173102
ENSG00000280038	cg00001874	1.8101503627454443
ENSG00000231105	cg00001874	1.8084096017460753
ENSG00000057294	cg00003625	1.799626490080361
ENSG00000227766	cg00000289	1.79610793205445
ENSG00000095587	cg00002531	1.7935144536862089
ENSG00000227766	cg00001747	1.7908216615978851
ENSG00000057294	cg00002593	1.7821188655388323
ENSG00000078237	cg00002464	1.7759270860690517
ENSG00000070081	cg00003529	1.7740679289350956
ENSG00000167768	cg00002406	1.771589774952431
ENSG00000118972	cg00003625	1.769817872276641
ENSG00000158486	cg00001446	1.7672959634438452
ENSG00000280159	cg00003181	1.76012673955156
ENSG00000206072	cg00001510	1.759023637964769
ENSG00000214198	cg00003202	1.7494043617103323
ENSG00000070081	cg00000321	1.7476488186072754
ENSG00000078237	cg00000165	1.7452841396767873
ENSG00000166391	cg00001791	1.7435570534750398
ENSG00000070081	cg00001249	1.7351944192715336
ENSG00000064601	cg00000029	1.732585753966867
ENSG00000064225	cg00003202	1.7290785565343798
ENSG00000242268	cg00000948	1.7238132329834688
ENSG00000070087	cg00000905	1.7232914798774963
ENSG00000273055	cg00004089	1.716831166239456
ENSG00000254465	cg00002426	1.7050557065526777
ENSG00000274458	cg00002809	1.7004220201222597
ENSG00000070081	cg00002808	1.6887953582762263
ENSG00000070087	cg00001349	1.6882299381402284
ENSG00000134108	cg00000165	1.6872396673502905
ENSG00000179262	cg00001510	1.6836645049460863
ENSG00000234900	cg00002591	1.6784633427275102
ENSG00000225275	cg00003181	1.6782554537965793
ENSG00000254092	cg00002490	1.6763252548710603
ENSG00000127511	cg00001364	1.6732952267693613
ENSG00000161558	cg00003287	1.6721384216444115
ENSG00000271647	cg00001809	1.6692029568133793
ENSG00000227766	cg00000769	1.6680669932738652
ENSG00000134108	cg00001261	1.6659333914213732
ENSG00000242041	cg00000905	1.6659172448957926
ENSG00000276644	cg00002591	1.6611097283402458
ENSG00000095587	cg00004072	1.6385329316799873
ENSG00000078237	cg00000236	1.624990977081407
ENSG00000057294	cg00002809	1.6209687450814325
ENSG00000057294	cg00000622	1.6199663470890675
ENSG00000185105	cg00003345	1.6166797447348518
ENSG00000268465	cg00002810	1.6129972221143074
ENSG00000267108	cg00000948	1.608627467746243
ENSG00000118972	cg00003529	1.5981268995662017
ENSG00000057294	cg00000321	1.598109764067937
ENSG00000172137	cg00002719	1.591821938098471
ENSG00000271647	cg00003345	1.5853175244023623
ENSG00000064225	cg00001245	1.5819680583645541
ENSG00000127511	cg00001791	1.578700346517123
ENSG00000070081	cg00002033	1.5747164906062896
ENSG00000206072	cg00002769	1.573171117595325
ENSG00000127511	cg00003529	1.5695055562372382
ENSG00000234900	cg00000289	1.5619581974950913
ENSG00000231981	cg00002464	1.5582658406498897
ENSG00000118972	cg00002426	1.5566681777550615
ENSG00000070081	cg00001809	1.5539099800663525
ENSG00000236893	cg00002837	1.5468802745521437
ENSG00000179262	cg00002224	1.5398550579048773
ENSG00000166368	cg00002810	1.538676569616183
ENSG00000166634	cg00000236	1.5355467800780256
ENSG00000158486	cg00000714	1.535260304592298
ENSG00000271616	cg00002490	1.5337109974599041
ENSG00000064225	cg00001791	1.530549669441359
ENSG00000234900	cg00001582	1.5274387228912036
ENSG00000227766	cg00002236	1.5253688772640264
ENSG00000267108	cg00000292	1.5222718461680387
ENSG00000258630	cg00002930	1.5122794951701373
ENSG00000057294	cg00000029	1.5088513402033763
ENSG00000118972	cg00002236	1.5086079982429315
ENSG00000070087	cg00002837	1.5059188155535874
ENSG00000167578	cg00000622	1.5025305512937173
ENSG00000231105	cg00000924	1.5020875842256904
ENSG00000206072	cg00003513	1.4998378234653948
ENSG00000166391	cg00002769	1.4980747562137413
ENSG00000166391	cg00000658	1.4979609555934588
ENSG00000057294	cg00003202	1.4952977543523123
ENSG00000057294	cg00002033	1.494015585758536
ENSG00000259883	cg00000769	1.4909748585231426
ENSG00000264576	cg00002809	1.4900723986372102
ENSG00000118972	cg00002033	1.4846714314890839
ENSG00000102174	cg00001249	1.483413702737649
ENSG00000231105	cg00002224	1.4823218589416742
ENSG00000134108	cg00002719	1.475732075485929
ENSG00000064601	cg00003173	1.4751514119569222
ENSG00000254092	cg00004082	1.4743843355358903
ENSG00000273055	cg00001687	1.458169327105951
ENSG00000215246	cg00003305	1.457268935189856
ENSG00000274219	cg00003091	1.4521005143185957
ENSG00000259883	cg00000658	1.4513400252381226
ENSG00000167700	cg00000622	1.4489230441387477
ENSG00000264576	cg00001582	1.4473305505947758
ENSG00000070081	cg00002145	1.4412038501241102
ENSG00000206072	cg00001261	1.4356863436375862
ENSG00000179262	cg00002646	1.4351121790825394
ENSG00000261789	cg00000734	1.4307245013949832
ENSG00000206072	cg00003625	1.4299127828880926
ENSG00000206072	cg00000658	1.4286412368627126
ENSG00000153561	cg00001583	1.4264690405257305
ENSG00000215246	cg00003345	1.4193867667162872
ENSG00000166391	cg00003181	1.4190535692525472
ENSG00000196167	cg00000292	1.4168892054721052
ENSG00000179262	cg00002660	1.4164559303240838
ENSG00000172137	cg00003091	1.4139598101687862
ENSG00000264438	cg00004072	1.4078566461125996
ENSG00000146083	cg00000622	1.4074935401940498
ENSG00000064601	cg00001582	1.398513774209326
ENSG00000220993	cg00004067	1.3960830023120965
ENSG00000166368	cg00000721	1.393509329902966
ENSG00000078237	cg00002593	1.391114449024988
ENSG00000167578	cg00000289	1.3883623240965235
ENSG00000057294	cg00002116	1.3828676214976972
ENSG00000258630	cg00001583	1.3819470044577098
ENSG00000230100	cg00001245	1.380253775567687
ENSG00000278099	cg00004067	1.375308460359226
ENSG00000269416	cg00002033	1.371985724036655
ENSG00000060642	cg00002145	1.3709750443811213
ENSG00000206072	cg00001583	1.3706907073339034
ENSG00000070081	cg00001747	1.3692624726508067
ENSG00000275479	cg00001349	1.3690414815185303
ENSG00000206072	cg00003091	1.3573237120579564
ENSG00000273055	cg00001349	1.35650934066919
ENSG00000064601	cg00002406	1.3489623093202268
ENSG00000166391	cg00000292	1.344652978882895
ENSG00000259883	cg00002808	1.3435784692561763
ENSG00000214198	cg00001349	1.3371559406780726
ENSG00000146083	cg00003181	1.3339415491242974
ENSG00000270469	cg00002660	1.3229496408816053
ENSG00000263089	cg00003202	1.317659906507905
ENSG00000008517	cg00001582	1.3120010748573703
ENSG00000070087	cg00003298	1.3057893009222166
ENSG00000280038	cg00002426	1.3046563897301438
ENSG00000153561	cg00003994	1.2954561670533316
ENSG00000198242	cg00002116	1.2930450613441915
ENSG00000166634	cg00000622	1.2897168852948966
ENSG00000269416	cg00003513	1.2882755160457309
ENSG00000271647	cg00002597	1.2844427487832955
ENSG00000196167	cg00000734	1.2841686532212657
ENSG00000269148	cg00001854	1.2826136974793534
ENSG00000166391	cg00000948	1.2794504039643042
ENSG00000273055	cg00000363	1.278526450031312
ENSG00000134108	cg00002810	1.2755407018013054
ENSG00000166391	cg00002449	1.2723400847290378
ENSG00000254465	cg00002810	1.2693711488159167
ENSG00000206072	cg00000948	1.2676862573067862
ENSG00000070087	cg00002116	1.2667863573555243
ENSG00000273406	cg00002236	1.2651662077461479
ENSG00000264438	cg00001687	1.2651400632075047
ENSG00000276644	cg00002490	1.2631411314064396
ENSG00000227535	cg00002660	1.259468693009479
ENSG00000276644	cg00001747	1.2571987868011276
ENSG00000270469	cg00000924	1.2537004895802024
ENSG00000242268	cg00001364	1.2413419655924727
ENSG00000134108	cg00001583	1.2395190082597496
ENSG00000064601	cg00000622	1.239432170644359
ENSG00000070081	cg00001582	1.234779097881977
ENSG00000276644	cg00001249	1.2337034336886374
ENSG00000070087	cg00000769	1.2332168405426513
ENSG00000267108	cg00002593	1.2310385416550789
ENSG00000172137	cg00003305	1.2301288584283603
ENSG00000166634	cg00000289	1.2293875897817748
ENSG00000153561	cg00003181	1.229174791398396
ENSG00000179262	cg00002593	1.2274297994952406
ENSG00000275479	cg00002593	1.2237817023198643
ENSG00000259883	cg00001854	1.21939354723156
ENSG00000179262	cg00000029	1.2166455431474215
ENSG00000134108	cg00003298	1.2157918770347151
ENSG00000167700	cg00001809	1.2145456225011362
ENSG00000231105	cg00001854	1.2120976867692237
ENSG00000242268	cg00002145	1.2091367928414478
ENSG00000064601	cg00003287	1.2074873661322991
ENSG00000264576	cg00000363	1.2042364738685574
ENSG00000258630	cg00003513	1.2012823203695244
ENSG00000233540	cg00002116	1.199043422803905
ENSG00000197421	cg00000029	1.1959248620564567
ENSG00000172137	cg00002406	1.1953576065191547
ENSG00000264576	cg00002646	1.1945338223749526
ENSG00000220993	cg00001245	1.1909593638754465
ENSG00000172137	cg00000905	1.1892089225085487
ENSG00000225269	cg00000292	1.1850176825564371
ENSG00000127511	cg00003994	1.1848508186390503
ENSG00000118972	cg00000957	1.1834407183273041
ENSG00000254131	cg00004089	1.1808128127982283
ENSG00000206072	cg00002646	1.1798539247528799
ENSG00000127511	cg00002531	1.1769442678492672
ENSG00000275479	cg00001583	1.1759294310148654
ENSG00000236040	cg00002224	1.1755910739998763
ENSG00000273055	cg00004082	1.1736184860221217
ENSG00000172137	cg00001854	1.1723465589721698
ENSG00000008517	cg00000292	1.170545832852806
ENSG00000158486	cg00001349	1.1701421575778184
ENSG00000271616	cg00001747	1.1693481929590235
ENSG00000166634	cg00004089	1.1687090561316618
ENSG00000095587	cg00001349	1.1674311187594182
ENSG00000258630	cg00000289	1.1667437712590074
ENSG00000275479	cg00003345	1.1643497211740221
ENSG00000263089	cg00003969	1.1633148951467616
ENSG00000102174	cg00001791	1.1617955084024425
ENSG00000134108	cg00002033	1.16078479765823
ENSG00000064601	cg00001791	1.1571116671158885
ENSG00000070081	cg00001583	1.1570991078186195
ENSG00000258630	cg00000321	1.1567922767611691
ENSG00000179833	cg00003969	1.1513510781445477
ENSG00000276644	cg00003969	1.1493972353621966
ENSG00000127511	cg00001809	1.1471489070786645
ENSG00000064225	cg00002591	1.1421803788576845
ENSG00000273055	cg00002660	1.141715112320989
ENSG00000179833	cg00001249	1.1401734748385846
ENSG00000242268	cg00003305	1.1401541235061554
ENSG00000225275	cg00003578	1.1384956022080879
ENSG00000127511	cg00000321	1.1357516404721497
ENSG00000064601	cg00002236	1.1345038988173892
ENSG00000070081	cg00001245	1.1322864534910877
ENSG00000158486	cg00001364	1.1277597081893553
ENSG00000060642	cg00003287	1.1240893577510178
ENSG00000134108	cg00003305	1.12382622235961
ENSG00000153561	cg00001747	1.1214351012280137
ENSG00000254092	cg00001687	1.1212677703120353
ENSG00000273406	cg00002116	1.1176719569413611
ENSG00000254465	cg00003287	1.1167478936645556
ENSG00000269148	cg00003784	1.1156785281360735
ENSG00000057294	cg00004067	1.1155325897291597
ENSG00000214198	cg00004072	1.11481627875911
ENSG00000214062	cg00001791	1.1144808875835606
ENSG00000275479	cg00001446	1.1144532223068355
ENSG00000269416	cg00000721	1.1136076915593638
ENSG00000214062	cg00000622	1.1123962725275582
ENSG00000206072	cg00002597	1.1104348965900674
ENSG00000095587	cg00003784	1.1086661913431473
ENSG00000280038	cg00001687	1.1081335804582175
ENSG00000161558	cg00000292	1.1080405598572935
ENSG00000118972	cg00000721	1.1058823770799078
ENSG00000127511	cg00002426	1.1055727608869386
ENSG00000254131	cg00004082	1.1023180236103756
ENSG00000242268	cg00001446	1.0996570869679851
ENSG00000070081	cg00002449	1.0995410024550683
ENSG00000231105	cg00003305	1.0985095702828207
ENSG00000206072	cg00002591	1.0947203805134742
ENSG00000234900	cg00002490	1.0939123792688161
ENSG00000266261	cg00003994	1.092890763786898
ENSG00000095587	cg00002145	1.0912250912021035
ENSG00000258630	cg00001687	1.0903599072162156
ENSG00000258630	cg00000292	1.0883589327007717
ENSG00000167700	cg00001791	1.085554704435329
ENSG00000227535	cg00000363	1.0829953546116298
ENSG00000254092	cg00004089	1.0802400940210912
ENSG00000196167	cg00001583	1.0790099374412392
ENSG00000273055	cg00001364	1.0782154485750464
ENSG00000134108	cg00003578	1.074986943744002
ENSG00000215246	cg00001249	1.074753012300982
ENSG00000182141	cg00000363	1.0745602609586258
ENSG00000167768	cg00002591	1.0738560504321608
ENSG00000167578	cg00000363	1.0738351862768472
ENSG00000197421	cg00003969	1.0716352136616745
ENSG00000263089	cg00001245	1.0705168479642768
ENSG00000231981	cg00001854	1.0684967208461051
