Composite Element REF	cg00000029	cg00000108	cg00000109	cg00000165	cg00000236	cg00000289	cg00000292	cg00000321	cg00000363	cg00000622	cg00000658	cg00000714	cg00000721	cg00000734	cg00000769	cg00000807	cg00000884	cg00000905	cg00000924	cg00000948	cg00000957	cg00001099	cg00001245	cg00001249	cg00001261	cg00001269	cg00001349	cg00001364	cg00001446	cg00001510	cg00001534	cg00001582	cg00001583	cg00001593	cg00001594	cg00001687	cg00001747	cg00001791	cg00001793	cg00001809	cg00001854	cg00001874	cg00001930	cg00002028	cg00002033	cg00002080	cg00002116	cg00002145	cg00002190	cg00002224	cg00002236	cg00002406	cg00002426	cg00002449	cg00002464	cg00002473	cg00002490	cg00002531	cg00002591	cg00002593	cg00002597	cg00002646	cg00002660	cg00002719	cg00002749	cg00002769	cg00002808	cg00002809	cg00002810	cg00002837	cg00002930	cg00003014	cg00003091	cg00003173	cg00003181	cg00003187	cg00003202	cg00003287	cg00003298	cg00003305	cg00003345	cg00003513	cg00003529	cg00003578	cg00003625	cg00003722	cg00003784	cg00003818	cg00003858	cg00003900	cg00003965	cg00003969	cg00003994	cg00004055	cg00004061	cg00004067	cg00004072	cg00004073	cg00004082	cg00004089
TCGA-G9-6364-11A	0.112216305918212			0.100649847547521	0.862088871046806	0.753391562013303	0.662446795973896	0.614970370293455	0.153983794061853	0.0128189599584104	0.854229912315391	0.1145586709476409	0.819568163455254	0.0540128263872709	0.0335519781905499			0.0694601498909287	0.4748594798535069	0.926135338246781	0.910192153834355		0.0156198118180785	0.8354909222470089	0.493579276690839		0.8235546213504109	0.87884619012084	0.8747637565552091	0.3850877929803549		0.049080278287915	0.4111592405704209			0.984634301920638	0.12898692717574	0.933879415480176	0.8991929588023171	0.857209130228538	0.954261586084458	0.653813934564439			0.6087830937442271		0.0097994005566759	0.7943816342373341	0.8487652488327141	0.116285320315516	0.0535420099310848	0.0229260217634713	0.520839972505351	0.869035833310429	0.0429984113442818		0.0341546329774857	0.9228897741707708	0.8766176067328451	0.383346406100085	0.9038156636751352	0.8768371694286801	0.0556826967763313	0.0174105863356393	0.9462383377271032	0.91023353657648	0.927296313493522	0.965377872018758	0.1082494123392069	0.40815337472761	0.0637593894657197		0.0719327552206355	0.0504860809235526	0.9054140141238208		0.0080325757053496	0.3872548382477429	0.0213536837158756	0.3464804815274009	0.33849436988227	0.413246386120542	0.7202581893967579	0.6095706074040329	0.6107248205032341		0.0377648883164481					0.8664192349060029	0.0910687628814601	0.105578603509807	0.5375271840511989	0.957808100727632	0.0460964143739575		0.0387245432242794	0.8254717471061669
TCGA-EJ-5505-01A	0.1046437018260669			0.249538869069806	0.903774602538814	0.7841440676894459	0.671698704954295	0.655695371570415	0.17659166478113	0.0148229146894206	0.861981523724356	0.0871498228936512	0.946198012010634	0.0587131142576875	0.0406831259513736			0.0559309081524219	0.436492775606841	0.906043074161226	0.8909861592068951		0.0155614859012726	0.814014284161522	0.627810559361666		0.765101113553867	0.912168561952086	0.87843203067544	0.513215145999432		0.0373805890612838	0.364328571255729			0.983424064243875	0.55627844105339	0.945432794669744	0.8018871696916351	0.6808335748961429	0.945332855166036	0.3755192793428409			0.5746948702935961		0.0122553127029313	0.759590541746425	0.837361251055728	0.140815610947825	0.0419768791271108	0.025163295014032	0.263112248946863	0.903685939839853	0.0387323823369271		0.0280285531399568	0.8835036785452192	0.875193694808547	0.341547760928041	0.904820089175268	0.72308942222066	0.0492488512785427	0.383717593280912	0.938005131372781	0.905165781205275	0.94233787173383	0.947208400342598	0.236079309935124	0.737009865223378	0.0572325130175353		0.0423772593501326	0.0525745410605814	0.86788331636346		0.0116279676499813	0.399644085845047	0.150855796159826	0.428087471975536	0.2230316249250039	0.6422222481788941	0.6620344046904739	0.59295135012891	0.6340992224087529		0.0268872911434443					0.8859141493706751	0.472974365736824	0.0829100066111607	0.540901579946549	0.9712149087560492	0.0376432498156602		0.0485080331907641	0.886642498234342
TCGA-ZG-A9L6-01A	0.1217816700387269			0.387849550266625	0.8404199616014401	0.556219284148599	0.660388335933566	0.666815896308413	0.0996587749450326	0.0118640549950138	0.837288000809319	0.0702981741945969	0.8954067841565071	0.0443861826280282	0.0239259237621476			0.0741864458537764	0.4540536020381879	0.9011699854545	0.911663855155175		0.0156802129748806	0.904695070732425	0.471054130660827		0.622663224602983	0.6894768102521049	0.88121347970928	0.377839833177852		0.0455196514163623	0.498299420570631			0.984044105738827	0.1219246879071589	0.926654940597044	0.75874060622943	0.509840911712215	0.924593786217562	0.5904378088894139			0.569743892148652		0.0095466970310719	0.740293383951597	0.8436514720307641	0.1119331777452049	0.0195694068278235	0.0147040883144069	0.4502068508152	0.866225346442307	0.0302044583936681		0.0196267736653983	0.891282235893647	0.8753182726956099	0.384032629463688	0.8049126193240792	0.869933817721229	0.277677420594984	0.201649198377468	0.8498191340747121	0.925163470788932	0.9375399372637452	0.959622244591197	0.0979823588700869	0.8370406600466691	0.0654375151547519		0.0463550985083028	0.0249942782095185	0.873382316411261		0.0071364673156352	0.3797870711288471	0.135057120412905	0.4622152737767199	0.283350797755395	0.514116701852371	0.6755656692803399	0.57879233612502	0.643240926939908		0.0183477263513781					0.88917641586899	0.1173298696464209	0.0634172572091473	0.443404807151481	0.963369270915468	0.0273876405450698		0.0418549927889983	0.896461622264048
TCGA-HC-A8D0-01A	0.105520845032368			0.425968040837819	0.861204269485378	0.622580128256371	0.5725230078902479	0.47552503233046	0.122991482736781	0.0152642616808348	0.8186053844252801	0.0951730935468394	0.928290965452674	0.0563019881050842	0.0301157401800046			0.0410585904774264	0.384008178690599	0.907153228552896	0.8583589180189821		0.0181851785417753	0.743713787113633	0.473358057639601		0.7511160922832221	0.8603691684845629	0.862799091072347	0.317657114777136		0.0565101798862026	0.320547621636893			0.9814117430069892	0.231581820373052	0.933423204992999	0.750005492480335	0.624496747757275	0.9273779243563148	0.406927001002545			0.427919932026354		0.0149031480687031	0.644391909613962	0.837895083373169	0.0924763290252702	0.0405322844533125	0.0227462300381003	0.277355681464549	0.880671842700432	0.071927553494764		0.0413895444854109	0.910264267524067	0.863648831627758	0.324220370289409	0.794659614149425	0.740529717704557	0.156944303263468	0.12506473791309	0.784569707798333	0.910900955584432	0.921383964050002	0.8808452401153449	0.0793620291239348	0.462250014123715	0.0587717084906517		0.0683513688946389	0.047358924733958	0.822777763758249		0.0116050894385723	0.302110906087473	0.0487537274635311	0.382513462387062	0.2793514031801239	0.6471793182489771	0.6587290571104549	0.473666991579462	0.4989201180339099		0.030890679043334					0.8695194728177671	0.0958584907893852	0.0637514112021295	0.483445363474801	0.9616506151550592	0.0502034198043287		0.0506177260886462	0.7688229465877741
TCGA-XK-AAK1-01A	0.138015930962915			0.0735450988529487	0.9039979064891508	0.626644581070693	0.7441768467866379	0.7685628820234759	0.7078978116865992	0.0133955893383914	0.8002703796056451	0.0743323681879906	0.934121355942827	0.0468362312702177	0.0225027746907725			0.0506805090185877	0.4252757658537209	0.4826074382349439	0.911908954241153		0.0229165630512424	0.7552369524277891	0.489211650476675		0.815775735627158	0.7362610996956909	0.5931764731105971	0.26694174814436		0.0387154008033943	0.705899056319597			0.986794054702768	0.0249825781609349	0.929848322322478	0.880148285968644	0.332306050832983	0.939973922626622	0.2817526621786699			0.6858732333065911		0.011419049309302	0.6871465706646851	0.8990618636257841	0.079399960667351	0.0251601412134694	0.0202000074668298	0.424604622909402	0.831600482286943	0.0328786800103633		0.0188617298743774	0.8695443398254571	0.8953871793856801	0.379718477785791	0.672958299611333	0.4969156432992279	0.0440256673540557	0.7820640456913671	0.8857573332064159	0.844085652046178	0.9429685137814732	0.941772787115911	0.101543545972429	0.548257511563193	0.0607797573982246		0.0335566348949747	0.0303484907235724	0.885547940558172		0.0099520477121741	0.2161794018197389	0.0195110925156228	0.275626966681265	0.190879036713439	0.8702839298768822	0.4835260147590939	0.6647086688949921	0.536401670811795		0.029676823079052					0.8243485617249079	0.0848388393352957	0.0500068239624911	0.284858336205987	0.9175851764068492	0.0330064795214896		0.21846794198893	0.7317695623622971
TCGA-VN-A88I-01A	0.166004263875379			0.093868742026556	0.83478741317406	0.540816079113777	0.648171051008991	0.393023154111175	0.130776162476674	0.0170193937991573	0.866124542535979	0.126770853838369	0.8943652119980942	0.0575114875881409	0.0285197326683177			0.0503705277168335	0.439461660192106	0.939348983708425	0.7961679129182729		0.0479602484594214	0.7278444231762509	0.446053158530479		0.7739051210797779	0.833133804187029	0.911243361270794	0.422709246890557		0.0490502663833116	0.229158014721625			0.9818197748112428	0.0304184810446168	0.9306760944644692	0.737137179025722	0.7953455305576551	0.909771457523057	0.416548851615337			0.4401500991587629		0.0144948735074574	0.804594364645838	0.883588896897303	0.23343650104537	0.035007463190318	0.0255208591474295	0.4006420562401829	0.862859639924463	0.0484183030452604		0.0301083236777823	0.87692954861259	0.921368475064017	0.5545294902010219	0.8150121216991321	0.9096659662536692	0.0466737076300437	0.0640974456546779	0.8265257920611591	0.886314731124609	0.9483698054705708	0.9476883639704607	0.0971379430816706	0.490257082425711	0.0627446687179622		0.032266384773191	0.0542272603552618	0.8184791739315559		0.0128849000018534	0.242090483689823	0.0221146658068271	0.3759889353224721	0.395542205391948	0.6459765079139039	0.618075096043376	0.4715799191011289	0.426251556577169		0.0325681441758003					0.8605026348866079	0.105225374654146	0.0606233749331274	0.5505947775150961	0.954133576010167	0.0449183547429703		0.0641598868286684	0.719024145185648
TCGA-CH-5745-01A	0.089292657281975			0.5092328282426299	0.912641120549836	0.774630241613187	0.6628075014567121	0.6790508974860521	0.5777831196069549	0.010306770654884	0.852574637241561	0.0809269529851157	0.9416184638606008	0.0393802090754042	0.0366224078673424			0.0481831742255638	0.483647791893073	0.9350431749029192	0.904576209056416		0.0156692449455387	0.8861055135379221	0.554603185885265		0.520634535593117	0.9222417502858812	0.8673685786753801	0.5412096740339529		0.0408065760066365	0.621180031245355			0.9853446857353207	0.5892761916059829	0.934007400912915	0.837022677697367	0.824269175071123	0.941659806661854	0.5761969009611779			0.6159923925128199		0.0114110762227904	0.7706620534548679	0.8526797527977109	0.346993075758487	0.0330018858496004	0.0173179602694415	0.2836726526236829	0.861498712535824	0.0378019474778551		0.0219465197330523	0.900040720173756	0.904147510113321	0.39215520891475	0.916050477835547	0.83471937375981	0.0466368756986153	0.4585752925519121	0.946596982172872	0.925118675018519	0.9256341342080492	0.932106367855749	0.119383077833288	0.62397720349866	0.0450705269137882		0.062652141915587	0.0407893036239075	0.8977872715191869		0.0087266755555119	0.20911219646711	0.0202516523521504	0.6192086547338199	0.276022511065622	0.6192012682991259	0.458669082915373	0.62301512407253	0.6899510935394061		0.0170372677260247					0.8998031789247959	0.129868960767437	0.0716302142894724	0.43014640935378	0.962288754558443	0.0307951569919595		0.0372238984666017	0.856089208705582
TCGA-KK-A8IA-01A	0.0922195193437772			0.8709682191456372	0.8976194832444809	0.6259412670913249	0.8356674923767891	0.7943265337177421	0.131776762327545	0.0159827701222662	0.870348725701128	0.0590813652540083	0.935972291239068	0.0828739664802843	0.0270186412603534			0.0678055932715566	0.419405372014256	0.914655796082978	0.946217361734888		0.0216158484268397	0.920815910658211	0.649980620655867		0.8692900011008009	0.8621094202846031	0.8748941184037909	0.569683729109842		0.0731330991022042	0.7274615280402661			0.977092128856775	0.7396618224722271	0.922060906627772	0.8356498983805309	0.5334138073331071	0.947336251481782	0.232673431404887			0.690053934122677		0.0128924021853417	0.7185160391050501	0.8853324479830459	0.2402211884270389	0.0469348132236865	0.0264362874580752	0.1698661725293509	0.8896323447997629	0.0489768318492754		0.032883130195433	0.908931997602833	0.9014752864554092	0.585346591587813	0.823424311932638	0.78566518334123	0.040041343822699	0.838755230796141	0.84333672674209	0.937143340517751	0.953292032367447	0.9224318061540592	0.108128158827172	0.2596677854410339	0.062475191032711		0.052582049331578	0.0425094150873978	0.90969688830451		0.0104917293778707	0.525502739322794	0.0428176558281114	0.524764206488322	0.3223131227401359	0.8295601022099308	0.69326661232313	0.739611402040167	0.7205452202227021		0.038045580804547					0.880583980261433	0.478449516284432	0.0767923495558987	0.28992334134693	0.958140684848421	0.0394184592529102		0.0549616580685974	0.871733578211577
TCGA-CH-5790-01A	0.0646072974212736			0.5538630091346	0.884695048993185	0.758178782721003	0.7245338387531559	0.7345491758576851	0.101349304064988	0.0133240947190018	0.853656605461486	0.0710867883230144	0.945050760306602	0.049865507335595	0.0254325613756916			0.0426898407695839	0.486215528414256	0.925796282207542	0.918682068092094		0.0161350191721077	0.9073478378845252	0.642576850271242		0.867573557142557	0.8987480010635089	0.905579023175597	0.4509167669077779		0.0403310581925612	0.569061607804431			0.9827583001074268	0.32836973591759	0.945045162836979	0.798141798601427	0.6572133392717691	0.955175011938068	0.160515844447293			0.701998059884014		0.0113913494197598	0.756894730786844	0.86253416701866	0.0924560409552682	0.0235175251155014	0.0187840527436931	0.281063079038283	0.885258398827891	0.0327126082759829		0.0327935671743969	0.8998886929966329	0.8985171209658991	0.2111502006238809	0.885872897027414	0.894012910807118	0.0289753015372495	0.7284442609927142	0.9286195105692192	0.942345602824306	0.940335871626381	0.933733888938098	0.0863306819276108	0.406776379729644	0.0444659825957168		0.0361996273722846	0.0302484132248505	0.906377583540751		0.0099770734663736	0.4182059860174609	0.138403773024414	0.412032255453061	0.2790861553865369	0.8385353437562449	0.2934540172612439	0.7468458234457042	0.799269296862176		0.024341021609398					0.8942927895058399	0.324438976045285	0.0697867061835797	0.358453234664511	0.971080351862415	0.0371180885789826		0.039137353154915	0.9156822257992652
TCGA-KK-A6E1-01A	0.0857638206161735			0.24434383433125	0.904148046146392	0.6449181811676911	0.5590380913624301	0.261220840634757	0.0792672297282465	0.0152849302831853	0.869703426452407	0.0722068001846333	0.9372869162990228	0.0614568409816561	0.0187172795122407			0.0548297690409437	0.557116069032779	0.869142930200641	0.901760767301372		0.0174791989784007	0.674442836297011	0.667145363260408		0.90165172019248	0.821549013793948	0.807135770861042	0.1910462164112699		0.0415563031159349	0.4937385462155579			0.9862578168704108	0.0174940499556266	0.945870766742259	0.906572876627884	0.523339341027283	0.941819127705425	0.191057331121962			0.7386340553907509		0.0127983215184924	0.551997268183827	0.8814240522589641	0.0836772963599965	0.0235681681760992	0.0197419623695126	0.2495033436437879	0.749210822384005	0.0296451105832559		0.0185699326830205	0.8075898929147808	0.8817745640008271	0.303688585401268	0.867046755195617	0.6075010932793778	0.0300694918300043	0.8012596115568009	0.94651592821338	0.847045884110309	0.9141978699861129	0.731574463468828	0.0891753866747904	0.161217925268389	0.0571285256010972		0.0288273103079431	0.0314852236005164	0.884312639840937		0.0098895188688862	0.0837061633078719	0.0193061500572697	0.409036751954261	0.312371882206427	0.7404987868457129	0.1636935515792059	0.7092140348845329	0.5686828138358531		0.0228149701751601					0.850894428337419	0.0548203751440809	0.0708777248977497	0.2384300817757099	0.951750836010484	0.0265058828770019		0.0496094236762933	0.8667625408011529
