genes	cpgs	mean_max_frequency_weight
ENSG00000215246	cg00004067	79466480.29988866
ENSG00000231105	cg00001854	78744559.1239875
ENSG00000215246	cg00001364	75620709.54841492
ENSG00000060642	cg00002809	73180269.86796597
ENSG00000166391	cg00002597	68273708.97618867
ENSG00000179833	cg00003173	67903104.78586906
ENSG00000057294	cg00001687	64730698.093279645
ENSG00000227766	cg00004082	61593236.49230015
ENSG00000057294	cg00000721	60584110.98123134
ENSG00000158486	cg00002464	59024119.006764166
ENSG00000070081	cg00000734	58451837.15110617
ENSG00000231105	cg00000924	57744523.730827585
ENSG00000064225	cg00000957	57543818.90205012
ENSG00000060642	cg00002769	57354421.312723264
ENSG00000215246	cg00003345	56506487.94891216
ENSG00000206072	cg00002145	54359890.1006675
ENSG00000127511	cg00002531	53516699.3072644
ENSG00000214062	cg00000622	53281204.65270588
ENSG00000215246	cg00000622	53254294.67066709
ENSG00000166391	cg00000948	52600768.82252955
ENSG00000088179	cg00003173	52509166.8914557
ENSG00000268465	cg00002810	51998686.60038079
ENSG00000231105	cg00001874	49608743.17436881
ENSG00000127511	cg00002808	47515364.81551837
ENSG00000258630	cg00000321	47313501.55139865
ENSG00000127511	cg00001791	47285097.88777144
ENSG00000078237	cg00002837	46840076.68931371
ENSG00000227766	cg00001687	46344979.90227201
ENSG00000118972	cg00003625	45809965.28934781
ENSG00000254465	cg00002464	45656606.27880457
ENSG00000070081	cg00002808	45165868.34975525
ENSG00000214198	cg00001349	44950067.69557791
ENSG00000258630	cg00002719	44765479.890485555
ENSG00000102174	cg00000622	44317273.30429377
ENSG00000078237	cg00000714	44243959.12024205
ENSG00000273055	cg00001687	42819147.78221723
ENSG00000266261	cg00000165	42758728.173431486
ENSG00000146083	cg00004089	42700155.87495725
ENSG00000134108	cg00001261	42542971.56941387
ENSG00000102174	cg00004067	42350029.73207268
ENSG00000057294	cg00003625	42287241.71507127
ENSG00000070081	cg00004055	42267109.83604057
ENSG00000064225	cg00002449	41998570.256836854
ENSG00000088179	cg00002810	41941483.48636829
ENSG00000060642	cg00001245	41420308.213506706
ENSG00000179262	cg00002224	41371328.774402976
ENSG00000259883	cg00002808	41029282.911095314
ENSG00000179262	cg00001510	40821597.21889793
ENSG00000266644	cg00004082	40587802.438502185
ENSG00000273055	cg00000622	40495304.128085576
ENSG00000231105	cg00002449	39510464.91403756
ENSG00000166391	cg00003969	39297011.12580167
ENSG00000198242	cg00001261	39059665.23853352
ENSG00000134108	cg00003994	39010954.887729615
ENSG00000231105	cg00004082	38983578.36212837
ENSG00000166391	cg00003181	38957888.83159687
ENSG00000070081	cg00002769	38837617.29238158
ENSG00000070081	cg00003529	38653575.67706075
ENSG00000206072	cg00001809	38476393.96716117
ENSG00000215246	cg00002646	38172256.65767587
ENSG00000102174	cg00001446	38104879.719385214
ENSG00000258630	cg00001349	38000443.230498545
ENSG00000172137	cg00000948	37968433.461275734
ENSG00000264576	cg00002646	37925942.283670746
ENSG00000267108	cg00002190	37776248.686626874
ENSG00000057294	cg00000029	37689245.797894455
ENSG00000179833	cg00000924	37593450.15297547
ENSG00000258630	cg00000957	37276782.20063481
ENSG00000220993	cg00004067	37023716.72776808
ENSG00000206072	cg00000957	37007475.21923582
ENSG00000134108	cg00000165	36982756.09350837
ENSG00000280038	cg00001874	36978143.2381149
ENSG00000270469	cg00002660	36913538.75753087
ENSG00000276644	cg00000622	36854919.48791406
ENSG00000179262	cg00000029	36787217.35639256
ENSG00000179262	cg00002646	36710313.71060847
ENSG00000269416	cg00003625	36679699.585311435
ENSG00000197421	cg00000029	36577090.0432866
ENSG00000273055	cg00003994	36426023.85036371
ENSG00000158486	cg00002145	36402719.09545872
ENSG00000206072	cg00002769	36387437.750720754
ENSG00000179833	cg00003298	36326810.36474392
ENSG00000166634	cg00000236	36310230.86550022
ENSG00000134108	cg00002719	36224680.774777316
ENSG00000060642	cg00002597	36216044.86675763
ENSG00000264576	cg00001364	35957859.23289851
ENSG00000070081	cg00002145	35582195.26780995
ENSG00000231105	cg00001582	35484346.84868871
ENSG00000057294	cg00002808	35464601.682599425
ENSG00000064601	cg00003173	35464344.289301604
ENSG00000242041	cg00000905	35398993.149284564
ENSG00000057294	cg00002033	35167786.74298618
ENSG00000275479	cg00000734	35122141.03797936
ENSG00000227766	cg00000769	35103658.7633518
ENSG00000198242	cg00001583	35032070.660108574
ENSG00000236893	cg00002837	34897256.91512945
ENSG00000167578	cg00002464	34884970.41650673
ENSG00000060642	cg00003969	34691324.45577111
ENSG00000166391	cg00001791	34640040.56280241
ENSG00000095587	cg00002426	34609719.08829028
ENSG00000070081	cg00001747	34563235.98033863
ENSG00000158486	cg00000769	34129751.467306636
ENSG00000182141	cg00002531	34082521.13603264
ENSG00000269416	cg00000321	34030750.67677473
ENSG00000179262	cg00002810	33956280.17361453
ENSG00000230100	cg00001446	33948137.86911072
ENSG00000258630	cg00000289	33723617.375538155
ENSG00000214198	cg00003202	33553749.775226362
